date,Stockholm,Uppsala,Södermanland,Östergötland,Jönköping,Kronoberg,Kalmar,Gotland,Blekinge,Skåne,Halland,Västra Götaland,Värmland,Örebro,Västmanland,Dalarna,Gävleborg,Västernorrland,Jämtland,Västerbotten,Norrbotten,compartment
2020-12-23,288,7,116,214,43,29,0,0,179,295,46,292,43,245,200,190,200,0,63,0,0,V1
2020-12-30,2285,242,1254,2259,1162,221,293,199,683,1447,233,2376,200,1338,278,194,724,222,200,210,214,V1
2021-01-06,7327,1384,4025,4495,1672,1239,1860,496,1684,4512,381,7282,1136,3121,686,3141,2073,1998,1125,1238,1296,V1
2021-01-13,22983,5111,7152,6804,6952,2274,4513,1180,2840,14994,2957,17143,2641,5667,5821,3208,4704,4852,2163,3391,3522,V1
2021-01-20,34902,7798,10622,11422,10362,4254,8157,2202,4230,28712,7148,39996,6536,9529,8998,10016,7122,7884,3523,5645,6860,V1
2021-01-27,44799,10553,11565,14476,13170,5346,11486,4122,5563,39103,10585,48781,10058,10906,10330,10462,9524,8452,3919,8053,9445,V1
2021-02-03,53186,12771,11940,16908,13590,6800,13610,4898,7041,45862,12874,54107,12227,12200,10798,10537,12421,9143,4012,9561,9736,V1
2021-02-10,57926,15050,12845,18764,15511,7468,14724,5173,8312,49170,16113,65306,14125,14788,11693,11245,14919,10036,5007,10979,11833,V1
2021-02-17,65842,17593,16230,23618,18735,9310,16855,5390,10759,55793,19516,75977,16991,17237,14425,14152,18400,11351,7026,12086,13666,V1
2021-02-24,84874,20458,21094,29361,24837,10854,19245,5853,12290,65463,22236,90431,20049,22057,17772,17959,22396,14827,9186,15026,16297,V1
2021-03-03,110208,25761,27659,38144,30731,14441,24550,6595,14620,81421,26302,118789,26197,26835,23381,21161,26300,19917,12090,19579,19287,V1
2021-03-10,141644,29363,34167,46037,37479,16936,30002,8635,17801,106203,32553,151964,31798,32277,28524,27256,31299,26194,14817,26175,24869,V1
2021-03-17,164466,33262,39636,53022,40676,19302,32986,10047,18968,123910,36379,169062,35970,34929,32757,30850,35991,29436,16637,29895,26018,V1
2021-03-24,190930,37602,43358,59933,43068,22297,38195,10440,20340,141632,43441,189060,41008,39031,36027,34414,41435,30271,18041,32782,30075,V1
2021-03-31,239252,41253,48339,68723,52535,25893,42991,10902,23247,163107,47999,214238,51543,46627,42012,43464,48268,33394,21200,38436,36676,V1
2021-04-07,283807,51906,58414,84229,67530,32400,49587,13238,28021,190133,58091,244265,63241,54735,45406,56197,56133,41379,24505,43841,44475,V1
2021-04-14,357050,63545,69431,106166,83048,43691,62986,15453,35144,237788,72741,305609,78139,64886,60580,72363,68694,57086,32017,55729,57945,V1
2021-04-21,434546,74649,79859,124281,94026,51370,77267,16710,42037,297183,85753,373933,90185,77645,73406,85099,80112,69286,36282,67420,71563,V1
2021-04-28,514138,92645,93304,142132,107285,57333,88051,17870,46957,343357,94780,436619,101489,86086,84308,95060,93325,78833,40635,78344,81581,V1
2021-05-05,594989,107204,99871,157207,116970,62716,96455,19540,51733,386019,102741,495839,109603,98096,95769,105449,105589,89196,46270,86652,89048,V1
2021-05-12,672370,120254,108140,167144,123124,67862,100999,20918,56664,416201,111679,544582,115370,105776,104378,111323,116590,94893,49196,94710,93458,V1
2021-05-19,746287,129624,113417,175789,126738,72198,104611,22476,61128,458253,118616,588013,117204,113139,109103,115579,123519,96979,52604,101709,99076,V1
2021-05-26,812176,141265,121147,183151,130636,73944,107463,23274,66320,482588,125866,613941,121221,120334,111314,121686,126833,98992,53666,106754,99963,V1
2021-06-02,872609,163619,128709,192223,140408,75444,111392,24940,70987,505020,133873,635872,126894,126402,116939,126078,135966,102200,57160,111622,101014,V1
2021-06-09,945198,176011,137382,203037,148387,80660,114958,27131,76075,541551,143062,673652,131707,138641,121103,133304,141836,109600,60096,118185,107441,V1
2021-06-16,1020655,188301,148010,218392,157431,86175,120240,28279,80169,584629,158521,715668,139913,147520,128113,141304,148707,113726,62330,125286,115715,V1
2021-06-23,1071235,205857,156706,230053,175705,90866,128432,30493,84707,621020,170351,760166,151357,156076,133930,150622,157247,120249,66390,131770,124419,V1
2021-06-30,1137512,225827,165434,254699,194229,95891,140862,33703,90157,675834,186411,826542,172510,171136,145451,163011,165480,135645,70493,141122,134816,V1
2021-07-07,1198135,232432,172781,276059,207357,104779,149455,36918,94812,735655,201581,902993,186720,185381,158202,172259,174319,147530,76922,152440,145709,V1
2021-07-14,1284085,242871,180168,291250,211929,112926,158196,38243,98906,785019,209228,970690,193998,191549,168043,180069,181525,158185,80569,165622,157595,V1
2021-07-21,1355363,253469,185830,301201,218216,118454,161146,38937,102398,811317,215327,1014398,196872,194652,172019,186080,184935,162613,83130,174721,167479,V1
2021-07-28,1396763,259025,188626,306126,222655,122085,164228,41279,104375,827578,218583,1040255,198254,196831,174654,189436,187048,164566,83877,181349,171499,V1
2021-08-04,1422111,264913,191263,309592,225274,124347,166544,42019,105557,845972,220252,1058433,199097,200564,178133,193790,190151,167890,85932,185156,173649,V1
2021-08-11,1459520,270356,195014,317762,230019,127734,168787,42946,107675,861222,225087,1079323,202292,203494,180946,195385,194022,170652,88125,189308,176653,V1
2021-08-18,1491329,272778,198632,320441,233446,129837,169980,43700,109334,872532,228374,1102044,205956,206099,183340,196788,196411,172634,89845,194028,179572,V1
2021-08-25,1511916,275378,201087,324118,238153,131037,170713,44301,110437,883096,231069,1124344,207268,207866,185291,198817,198129,174327,90803,197169,181846,V1
2021-09-01,1528443,278102,203327,326187,243087,132279,172413,44760,111533,892219,232512,1142514,208894,210056,186745,200707,199606,176366,91901,199277,183429,V1
2021-09-08,1543641,279577,204961,328653,246190,133845,173682,45166,112155,900822,233971,1158676,209795,211804,188174,202873,201073,177092,92749,201560,184588,V1
2021-09-15,1556235,280895,206240,330921,248633,134921,174892,45664,112957,908343,235574,1171716,210596,213133,189419,204433,202427,177967,93593,203169,185867,V1
2021-09-22,1565841,282301,207383,334154,250180,135789,176189,45838,113552,912107,236841,1181091,211407,214626,190562,205879,203576,178589,94331,204105,186806,V1
2020-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V2
2020-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V2
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V2
2021-01-13,27,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,V2
2021-01-20,2118,170,816,2056,892,203,288,191,286,339,185,439,178,805,249,170,645,190,162,190,207,V2
2021-01-27,6742,1158,2581,3791,1420,1137,1778,395,1408,1400,316,2234,1055,1935,582,2978,1946,1738,953,202,1219,V2
2021-02-03,17434,3369,5959,6072,6226,2092,1935,1102,2527,8313,2607,7097,2377,3663,5051,3041,4461,3033,2135,1291,3297,V2
2021-02-10,27704,5734,9180,9917,9145,3904,5053,1348,3852,14305,6161,16607,4679,5968,7051,9276,6174,4878,3217,3340,6233,V2
2021-02-17,38034,8013,10995,13224,12191,5044,7965,2379,5127,28051,9596,37733,7593,9570,9324,9906,8470,6797,3588,5413,8554,V2
2021-02-24,47064,10063,11356,15597,12845,6186,11093,4397,6356,37551,12008,46209,11048,10422,9613,10059,10967,8547,3784,7674,9007,V2
2021-03-03,52072,12421,11670,16333,13352,6847,13262,4713,7360,44221,14773,51011,12752,11891,9989,10538,12628,9131,4737,9188,10569,V2
2021-03-10,57239,15063,13533,19201,15279,7872,13904,4938,8832,47553,16568,55419,13890,13890,11556,11527,14278,9724,5765,10423,11693,V2
2021-03-17,71585,17314,15286,22559,18568,8676,15135,5207,10252,50644,19128,61620,15785,15284,13390,13596,16453,11562,7076,10871,12750,V2
2021-03-24,84249,19482,19223,26331,22260,10377,15884,5281,11309,56664,20656,71068,18605,17576,16364,15705,19300,14234,8396,13963,13566,V2
2021-03-31,99666,20440,21674,27311,23436,11091,17456,5310,12303,64973,23855,84880,21267,20202,19658,15998,21826,17488,8443,14339,16428,V2
2021-04-07,119357,21021,24795,29012,23943,12870,21456,5389,13310,79670,27474,106534,24603,22657,23159,16191,25753,20063,8620,18200,16922,V2
2021-04-14,127502,24282,26383,31439,25194,13606,24314,5454,13468,95578,27893,121669,24989,24838,23537,16478,29245,21020,8757,21797,17783,V2
2021-04-21,132641,28233,27358,34907,27781,13948,24759,6806,13672,98209,28087,124633,25118,28093,23938,18947,32165,21256,10712,22807,17902,V2
2021-04-28,135576,28531,30366,39105,30539,14213,25076,7974,13782,98968,28213,126376,25427,30603,24046,22062,32812,21449,12152,23286,18110,V2
2021-05-05,156644,29010,32874,46798,33534,17244,30101,8534,14844,115480,35250,143660,30340,33397,27529,26008,34255,22330,14530,28009,22498,V2
2021-05-12,180958,33157,35229,57138,42790,20501,35844,9336,17512,138412,37479,159383,36223,39350,31417,34839,36695,26106,17347,30871,28468,V2
2021-05-19,212113,42120,45895,70982,56680,25194,43615,11097,23126,153655,46246,178315,49376,45141,34621,45574,43739,32542,20630,34890,35442,V2
2021-05-26,261816,50812,56396,83073,68815,32089,50632,12777,28734,187413,56719,226385,57497,53414,46189,55545,53546,43000,26183,41712,44834,V2
2021-06-02,336120,60782,69403,102138,79269,39521,63204,13309,32778,229607,68040,285156,76382,66107,58808,67286,63489,55427,28260,51498,57375,V2
2021-06-09,425280,78406,84909,121904,94686,48135,74398,14743,37166,274822,81566,348279,90333,77339,70384,79438,75198,68790,33279,63467,69399,V2
2021-06-16,539202,95245,94106,140514,108657,58321,84225,17557,43361,337644,93201,420232,105751,91221,84189,94552,87772,84773,39595,77582,81424,V2
2021-06-23,605906,109284,100777,160114,117919,66241,94591,19638,50920,383176,106528,481594,112330,101014,97139,102536,99720,91462,45160,89891,89136,V2
2021-06-30,687512,119451,106027,167204,122929,70646,101767,21785,58014,442622,116006,545497,114477,109218,104266,109788,111128,94505,49716,98412,95114,V2
2021-07-07,754771,133123,111481,168631,126067,72488,105418,22649,64160,474051,117555,584819,114825,115309,106790,117959,117702,96512,50980,104194,96492,V2
2021-07-14,793100,152377,117547,176290,135161,73122,105850,24258,65230,497134,123741,601394,118927,122426,109230,123368,122808,96979,52629,105731,97357,V2
2021-07-21,841274,163307,125527,184768,142731,74569,109696,26319,69743,530244,131521,623689,125139,135625,114659,124231,131585,99916,55516,110717,98543,V2
2021-07-28,912432,176264,132630,195418,143704,79325,113185,26492,74374,567634,140193,657415,134245,147205,120178,131042,139576,107078,58314,115895,104392,V2
2021-08-04,993572,187396,142064,209450,152411,84764,118176,27581,78191,603996,154938,693893,146477,156728,127402,138236,147262,111168,60236,122511,112240,V2
2021-08-11,1072841,198388,154191,221087,170367,89543,127287,29832,83087,656102,166473,737387,159283,167132,134784,147426,155398,117725,64382,129550,121372,V2
2021-08-18,1155419,213537,165552,246378,188378,95004,139433,33074,88422,711812,182858,800941,172120,179158,144260,160813,164477,132900,69760,138284,131845,V2
2021-08-25,1236113,228188,174463,266038,200585,103255,146968,36185,92895,761791,198149,871591,184268,188356,154967,171213,173114,144472,75518,149126,141826,V2
2021-09-01,1292946,239791,180150,282139,205621,111065,155736,37508,96647,790829,205948,939572,191864,194337,163911,180212,178377,154707,79014,161241,152806,V2
2021-09-08,1336249,245945,184603,295597,212029,116925,160108,38272,101430,812296,215974,981367,196167,198617,170217,186591,182204,161533,82372,169892,162897,V2
2021-09-15,1371276,254166,190110,307274,217115,122599,165671,41212,105529,830312,222811,1012199,200898,201191,174285,189101,185939,165686,85768,179009,169744,V2
2021-09-22,1401526,263634,193949,315588,220496,126128,167165,42819,107502,844363,227171,1033884,203151,203459,177366,190901,188758,172396,87667,184032,174357,V2
