date,Sweden,compartment
2020-05-03,512,W
2020-05-04,515,W
2020-05-05,506,W
2020-05-06,496,W
2020-05-07,481,W
2020-05-08,475,W
2020-05-09,472,W
2020-05-10,466,W
2020-05-11,448,W
2020-05-12,424,W
2020-05-13,412,W
2020-05-14,401,W
2020-05-15,396,W
2020-05-16,376,W
2020-05-17,373,W
2020-05-18,384,W
2020-05-19,374,W
2020-05-20,361,W
2020-05-21,350,W
2020-05-22,334,W
2020-05-23,336,W
2020-05-24,337,W
2020-05-25,339,W
2020-05-26,345,W
2020-05-27,336,W
2020-05-28,330,W
2020-05-29,311,W
2020-05-30,309,W
2020-05-31,315,W
2020-06-01,309,W
2020-06-02,309,W
2020-06-03,300,W
2020-06-04,295,W
2020-06-05,293,W
2020-06-06,288,W
2020-06-07,301,W
2020-06-08,294,W
2020-06-09,290,W
2020-06-10,281,W
2020-06-11,270,W
2020-06-12,260,W
2020-06-13,254,W
2020-06-14,251,W
2020-06-15,242,W
2020-06-16,230,W
2020-06-17,218,W
2020-06-18,219,W
2020-06-19,210,W
2020-06-20,213,W
2020-06-21,200,W
2020-06-22,201,W
2020-06-23,192,W
2020-06-24,191,W
2020-06-25,178,W
2020-06-26,171,W
2020-06-27,156,W
2020-06-28,152,W
2020-06-29,153,W
2020-06-30,145,W
2020-07-01,137,W
2020-07-02,124,W
2020-07-03,129,W
2020-07-04,124,W
2020-07-05,120,W
2020-07-06,116,W
2020-07-07,102,W
2020-07-08,92,W
2020-07-09,90,W
2020-07-10,83,W
2020-07-11,86,W
2020-07-12,83,W
2020-07-13,87,W
2020-07-14,79,W
2020-07-15,73,W
2020-07-16,70,W
2020-07-17,62,W
2020-07-18,62,W
2020-07-19,56,W
2020-07-20,49,W
2020-07-21,58,W
2020-07-22,58,W
2020-07-23,58,W
2020-07-24,50,W
2020-07-25,53,W
2020-07-26,47,W
2020-07-27,49,W
2020-07-28,46,W
2020-07-29,42,W
2020-07-30,41,W
2020-07-31,39,W
2020-08-01,38,W
2020-08-02,40,W
2020-08-03,38,W
2020-08-04,41,W
2020-08-05,39,W
2020-08-06,38,W
2020-08-07,36,W
2020-08-08,38,W
2020-08-09,35,W
2020-08-10,34,W
2020-08-11,35,W
2020-08-12,33,W
2020-08-13,30,W
2020-08-14,31,W
2020-08-15,31,W
2020-08-16,29,W
2020-08-17,31,W
2020-08-18,28,W
2020-08-19,28,W
2020-08-20,27,W
2020-08-21,26,W
2020-08-22,24,W
2020-08-23,25,W
2020-08-24,22,W
2020-08-25,26,W
2020-08-26,21,W
2020-08-27,21,W
2020-08-28,21,W
2020-08-29,21,W
2020-08-30,22,W
2020-08-31,19,W
2020-09-01,16,W
2020-09-02,15,W
2020-09-03,16,W
2020-09-04,17,W
2020-09-05,17,W
2020-09-06,17,W
2020-09-07,13,W
2020-09-08,13,W
2020-09-09,13,W
2020-09-10,12,W
2020-09-11,12,W
2020-09-12,14,W
2020-09-13,16,W
2020-09-14,17,W
2020-09-15,16,W
2020-09-16,15,W
2020-09-17,17,W
2020-09-18,15,W
2020-09-19,16,W
2020-09-20,19,W
2020-09-21,17,W
2020-09-22,19,W
2020-09-23,18,W
2020-09-24,18,W
2020-09-25,17,W
2020-09-26,18,W
2020-09-27,18,W
2020-09-28,20,W
2020-09-29,20,W
2020-09-30,21,W
2020-10-01,24,W
2020-10-02,22,W
2020-10-03,22,W
2020-10-04,20,W
2020-10-05,21,W
2020-10-06,23,W
2020-10-07,25,W
2020-10-08,26,W
2020-10-09,27,W
2020-10-10,25,W
2020-10-11,26,W
2020-10-12,23,W
2020-10-13,24,W
2020-10-14,28,W
2020-10-15,30,W
2020-10-16,30,W
2020-10-17,27,W
2020-10-18,24,W
2020-10-19,30,W
2020-10-20,32,W
2020-10-21,35,W
2020-10-22,39,W
2020-10-23,41,W
2020-10-24,45,W
2020-10-25,48,W
2020-10-26,56,W
2020-10-27,55,W
2020-10-28,57,W
2020-10-29,58,W
2020-10-30,59,W
2020-10-31,60,W
2020-11-01,63,W
2020-11-02,75,W
2020-11-03,81,W
2020-11-04,86,W
2020-11-05,92,W
2020-11-06,93,W
2020-11-07,98,W
2020-11-08,105,W
2020-11-09,120,W
2020-11-10,131,W
2020-11-11,128,W
2020-11-12,134,W
2020-11-13,137,W
2020-11-14,144,W
2020-11-15,149,W
2020-11-16,150,W
2020-11-17,168,W
2020-11-18,179,W
2020-11-19,183,W
2020-11-20,183,W
2020-11-21,180,W
2020-11-22,185,W
2020-11-23,194,W
2020-11-24,193,W
2020-11-25,211,W
2020-11-26,221,W
2020-11-27,221,W
2020-11-28,218,W
2020-11-29,229,W
2020-11-30,234,W
2020-12-01,238,W
2020-12-02,234,W
2020-12-03,249,W
2020-12-04,247,W
2020-12-05,242,W
2020-12-06,247,W
2020-12-07,243,W
2020-12-08,254,W
2020-12-09,263,W
2020-12-10,260,W
2020-12-11,260,W
2020-12-12,255,W
2020-12-13,257,W
2020-12-14,255,W
2020-12-15,267,W
2020-12-16,268,W
2020-12-17,277,W
2020-12-18,282,W
2020-12-19,282,W
2020-12-20,288,W
2020-12-21,290,W
2020-12-22,304,W
2020-12-23,311,W
2020-12-24,299,W
2020-12-25,308,W
2020-12-26,316,W
2020-12-27,323,W
2020-12-28,337,W
2020-12-29,340,W
2020-12-30,339,W
2020-12-31,336,W
2021-01-01,346,W
2021-01-02,354,W
2021-01-03,359,W
2021-01-04,368,W
2021-01-05,377,W
2021-01-06,389,W
2021-01-07,387,W
2021-01-08,380,W
2021-01-09,381,W
2021-01-10,386,W
2021-01-11,371,W
2021-01-12,373,W
2021-01-13,367,W
2021-01-14,365,W
2021-01-15,368,W
2021-01-16,350,W
2021-01-17,338,W
2021-01-18,338,W
2021-01-19,339,W
2021-01-20,329,W
2021-01-21,315,W
2021-01-22,302,W
2021-01-23,283,W
2021-01-24,277,W
2021-01-25,277,W
2021-01-26,277,W
2021-01-27,271,W
2021-01-28,262,W
2021-01-29,251,W
2021-01-30,239,W
2021-01-31,243,W
2021-02-01,246,W
2021-02-02,239,W
2021-02-03,246,W
2021-02-04,250,W
2021-02-05,240,W
2021-02-06,251,W
2021-02-07,240,W
2021-02-08,235,W
2021-02-09,229,W
2021-02-10,235,W
2021-02-11,228,W
2021-02-12,219,W
2021-02-13,220,W
2021-02-14,217,W
2021-02-15,228,W
2021-02-16,229,W
2021-02-17,224,W
2021-02-18,208,W
2021-02-19,200,W
2021-02-20,197,W
2021-02-21,205,W
2021-02-22,214,W
2021-02-23,217,W
2021-02-24,223,W
2021-02-25,229,W
2021-02-26,229,W
2021-02-27,225,W
2021-02-28,234,W
2021-03-01,238,W
2021-03-02,226,W
2021-03-03,231,W
2021-03-04,230,W
2021-03-05,231,W
2021-03-06,240,W
2021-03-07,240,W
2021-03-08,231,W
2021-03-09,216,W
2021-03-10,223,W
2021-03-11,220,W
2021-03-12,235,W
2021-03-13,229,W
2021-03-14,241,W
2021-03-15,251,W
2021-03-16,256,W
2021-03-17,266,W
2021-03-18,264,W
2021-03-19,273,W
2021-03-20,280,W
2021-03-21,283,W
2021-03-22,284,W
2021-03-23,281,W
2021-03-24,284,W
2021-03-25,296,W
2021-03-26,298,W
2021-03-27,294,W
2021-03-28,307,W
2021-03-29,298,W
2021-03-30,310,W
2021-03-31,319,W
2021-04-01,325,W
2021-04-02,324,W
2021-04-03,333,W
2021-04-04,345,W
2021-04-05,339,W
2021-04-06,357,W
2021-04-07,357,W
2021-04-08,367,W
2021-04-09,375,W
2021-04-10,382,W
2021-04-11,376,W
2021-04-12,391,W
2021-04-13,393,W
2021-04-14,392,W
2021-04-15,387,W
2021-04-16,394,W
2021-04-17,396,W
2021-04-18,403,W
2021-04-19,416,W
2021-04-20,417,W
2021-04-21,409,W
2021-04-22,402,W
2021-04-23,398,W
2021-04-24,391,W
2021-04-25,385,W
2021-04-26,395,W
2021-04-27,393,W
2021-04-28,390,W
2021-04-29,383,W
2021-04-30,389,W
2021-05-01,389,W
2021-05-02,399,W
2021-05-03,407,W
